ds,cve_publicadas
2023-07-04,26
2023-07-05,39
2023-07-06,130
2023-07-07,29
2023-07-08,2
2023-07-09,0
2023-07-10,47
2023-07-11,147
2023-07-12,58
2023-07-13,72
2023-07-14,36
2023-07-15,5
2023-07-16,6
2023-07-17,31
2023-07-18,59
2023-07-19,25
2023-07-20,19
2023-07-21,41
2023-07-22,0
2023-07-23,2
2023-07-24,22
2023-07-25,41
2023-07-26,27
2023-07-27,50
2023-07-28,31
2023-07-29,17
2023-07-30,8
2023-07-31,29
2023-08-01,44
2023-08-02,17
2023-08-03,75
2023-08-04,41
2023-08-05,11
2023-08-06,4
2023-08-07,44
2023-08-08,160
2023-08-09,67
2023-08-10,52
2023-08-11,65
2023-08-12,2
2023-08-13,27
2023-08-14,66
2023-08-15,60
2023-08-16,34
2023-08-17,44
2023-08-18,37
2023-08-19,4
2023-08-20,4
2023-08-21,34
2023-08-22,82
2023-08-23,33
2023-08-24,36
2023-08-25,35
2023-08-26,1
2023-08-27,3
2023-08-28,48
2023-08-29,31
2023-08-30,59
2023-08-31,31
2023-09-01,32
2023-09-02,8
2023-09-03,10
2023-09-04,47
2023-09-05,74
2023-09-06,79
2023-09-07,41
2023-09-08,24
2023-09-09,1
2023-09-10,2
2023-09-11,65
2023-09-12,97
2023-09-13,19
2023-09-14,26
2023-09-15,41
2023-09-16,4
2023-09-17,1
2023-09-18,30
2023-09-19,32
2023-09-20,76
2023-09-21,35
2023-09-22,29
2023-09-23,4
2023-09-24,2
2023-09-25,56
2023-09-26,1
2023-09-27,149
2023-09-28,40
2023-09-29,16
2023-09-30,6
2023-10-01,1
2023-10-02,28
2023-10-03,66
2023-10-04,47
2023-10-05,32
2023-10-06,21
2023-10-07,3
2023-10-08,3
2023-10-09,28
2023-10-10,159
2023-10-11,67
2023-10-12,34
2023-10-13,39
2023-10-14,9
2023-10-15,5
2023-10-16,61
2023-10-17,61
2023-10-18,41
2023-10-19,66
2023-10-20,36
2023-10-21,10
2023-10-22,7
2023-10-23,21
2023-10-24,0
2023-10-25,204
2023-10-26,53
2023-10-27,48
2023-10-28,7
2023-10-29,8
2023-10-30,58
2023-10-31,68
2023-11-01,46
2023-11-02,46
2023-11-03,70
2023-11-04,8
2023-11-05,1
2023-11-06,63
2023-11-07,84
2023-11-08,46
2023-11-09,56
2023-11-10,24
2023-11-11,3
2023-11-12,1
2023-11-13,27
2023-11-14,150
2023-11-15,43
2023-11-16,60
2023-11-17,46
2023-11-18,7
2023-11-19,0
2023-11-20,35
2023-11-21,30
2023-11-22,50
2023-11-23,33
2023-11-24,7
2023-11-25,0
2023-11-26,1
2023-11-27,36
2023-11-28,35
2023-11-29,45
2023-11-30,91
2023-12-01,25
2023-12-02,3
2023-12-03,3
2023-12-04,109
2023-12-05,91
2023-12-06,35
2023-12-07,82
2023-12-08,32
